mfcc_5_mean,mean_spectral_contrast,mfcc_3_std,mfcc_2_mean,std_spectral_bandwidth,mfcc_12_mean,mfcc_1_mean,mfcc_2_std,mfcc_10_mean,rms_energy,mfcc_10_std,mfcc_6_mean,mfcc_8_mean,mfcc_4_mean,mfcc_13_mean,mfcc_7_mean,mfcc_3_mean,mfcc_8_std,mfcc_11_mean,mfcc_5_std
-11.243851,459.7040341167514,31.923918,49.470943,370.4052412698184,0.30180356,-246.962,38.245247,2.3030853,0.08255184,8.983318,1.689259,5.746707,32.507935,-3.0808318,-19.95585,4.922163,3.1354781931947797,-17.410305,20.791132
-13.399975,462.82566722197726,36.468452,88.37191,410.7103177834014,-7.2811418,-257.23755,40.398624,-0.9539423,0.055476625,10.831742,3.2334182,-14.292689,27.370947,-0.450248,-9.883782,9.467071,4.180485378517667,-0.08877484,17.085749
-10.213086,419.278154407202,31.432747,71.86796,461.4583789847496,-0.19982924,-273.8713,48.722652,0.26009753,0.060388464,14.031009,2.8396924,-5.1436534,26.635605,3.3729858,-15.503926,-1.3287,3.9956867995377214,-0.42066953,25.51739
-0.43869013,380.874821613811,35.926292,68.507675,419.0564842425762,3.997028,-353.47635,56.540092,-1.4861215,0.029559094,14.461978,11.840884,-7.7924976,23.888018,-6.9469657,1.4032469,8.056022,4.663391469735304,-8.479608,23.34374
-10.35027,410.49273877921104,29.889421,81.4506,450.0884650659652,1.4106389,-284.60983,49.315365,-3.3663645,0.06907788,13.943447,1.3126466,-8.609181,39.914925,-3.2522578,-23.08466,7.4268665,3.874934451058495,-6.561539,28.853691
-16.603329,459.7715950142926,39.721207,72.26593,459.77469612224354,6.6952467,-234.25093,46.40795,2.076858,0.096510395,11.353393,3.989972,-3.5676255,14.874734,-10.493073,-21.477928,-0.12224147,3.851020449179672,-16.016607,24.812761
-11.910929,495.2680516630261,44.025784,71.31616,536.8977178426579,-2.2374134,-265.411,57.53151,-4.6990085,0.10647138,10.980406,5.0114803,-5.8833494,24.840918,-6.018993,-5.586834,1.4842237,3.861353648657424,-9.244686,24.8191
-18.0695,454.35430055785366,42.210323,63.955757,417.9462811980693,-6.9563956,-231.38943,41.804497,-1.3717965,0.09055693,9.955287,3.3119736,2.046829,33.921333,-5.377687,-19.468767,-6.9674582,3.4402097319785607,-10.787422,25.101015
-8.790596,486.40830145845814,32.451218,77.00608,411.9756116990055,-4.5993843,-237.64226,47.26519,1.4833374,0.06945612,9.879782,3.3410907,-9.434593,24.634108,-1.6817783,-14.909548,13.381133,3.5018085327441875,-5.9482436,20.018896
-11.902192,410.43923611865955,34.768967,90.74729,427.9150740332869,0.94334674,-242.10953,51.74598,-0.5795686,0.07165621,12.291101,4.70224,-8.666353,30.215322,3.8882103,-12.4004965,-4.0186687,4.15789971019023,-2.049367,22.47569
-9.16962,405.0307679946187,37.780712,79.361435,394.9374888433872,-1.4168091,-268.2479,54.27609,-4.13082,0.053678922,13.960292,10.19586,-11.84713,28.699417,-10.5118475,-6.9078603,0.83697003,4.474390684774855,-15.071655,22.728714
-14.21586,457.8018391946603,37.607986,100.00348,484.46181351989225,-6.6534047,-265.26685,48.6131,-2.4017007,0.09168924,10.596535,-1.8040268,-10.740582,26.98841,-2.2060173,-23.801207,-4.2713413,3.8954310416178592,-7.9962964,23.829098
